model,threshold,n,prevalence,harm,test_pos_rate,tp_rate,fp_rate,net_benefit,net_intervention_avoided
XGBoost_prob,0.0,1112,0.42356115107913667,0.0,0.9865107913669064,0.42356115107913667,0.5629496402877698,0.42356115107913667,
XGBoost_prob,0.01,1112,0.42356115107913667,0.0,0.9442446043165468,0.420863309352518,0.5233812949640289,0.4155766296054066,-0.21402877697841474
XGBoost_prob,0.02,1112,0.42356115107913667,0.0,0.9388489208633094,0.420863309352518,0.5179856115107915,0.41029217442372634,-0.07374100719424326
XGBoost_prob,0.03,1112,0.42356115107913667,0.0,0.8857913669064749,0.4199640287769784,0.4658273381294965,0.40555699770080844,-0.00569544364508164
XGBoost_prob,0.04,1112,0.42356115107913667,0.0,0.8785971223021583,0.4199640287769784,0.4586330935251799,0.40085431654676257,0.03147482014388502
XGBoost_prob,0.05,1112,0.42356115107913667,0.0,0.8570143884892086,0.4163669064748201,0.4406474820143886,0.39317493373722073,-0.0008992805755392296
XGBoost_prob,0.06,1112,0.42356115107913667,0.0,0.8462230215827338,0.414568345323741,0.4316546762589929,0.38701591917954997,0.003896882494005198
XGBoost_prob,0.07,1112,0.42356115107913667,0.0,0.8399280575539568,0.414568345323741,0.4253597122302159,0.38255202289781076,0.03160328879753358
XGBoost_prob,0.08,1112,0.42356115107913667,0.0,0.810251798561151,0.4118705035971223,0.3983812949640288,0.3772286518611198,0.04361510791366957
XGBoost_prob,0.09,1112,0.42356115107913667,0.0,0.7931654676258992,0.41007194244604317,0.3830935251798562,0.3721835718238596,0.05695443645083956
XGBoost_prob,0.1,1112,0.42356115107913667,0.0,0.7859712230215827,0.41007194244604317,0.3758992805755396,0.36830535571542766,0.07913669064748236
XGBoost_prob,0.11,1112,0.42356115107913667,0.0,0.762589928057554,0.408273381294964,0.35431654676259,0.3644814485490259,0.09843034663178543
XGBoost_prob,0.12,1112,0.42356115107913667,0.0,0.7616906474820144,0.408273381294964,0.35341726618705044,0.36008011772400256,0.11091127098321338
XGBoost_prob,0.13,1112,0.42356115107913667,0.0,0.7257194244604317,0.3992805755395683,0.32643884892086333,0.3505023567353014,0.0875069175428889
XGBoost_prob,0.14,1112,0.42356115107913667,0.0,0.7230215827338129,0.3992805755395683,0.32374100719424465,0.3465785511125982,0.10354573484069861
XGBoost_prob,0.15,1112,0.42356115107913667,0.0,0.704136690647482,0.39568345323741005,0.30845323741007197,0.34125052898857383,0.11001199040767386
XGBoost_prob,0.16,1112,0.42356115107913667,0.0,0.6969424460431655,0.39388489208633093,0.3030575539568346,0.3361596437136005,0.11758093525179857
XGBoost_prob,0.17,1112,0.42356115107913667,0.0,0.6906474820143885,0.3920863309352518,0.2985611510791368,0.33093525179856115,0.12420651713922988
XGBoost_prob,0.18,1112,0.42356115107913667,0.0,0.6843525179856115,0.3902877697841726,0.2940647482014389,0.3257369713984909,0.13079536370903272
XGBoost_prob,0.19,1112,0.42356115107913667,0.0,0.6735611510791367,0.38758992805755393,0.28597122302158273,0.3205102584598987,0.13711662249148052
XGBoost_prob,0.2,1112,0.42356115107913667,0.0,0.6681654676258992,0.3857913669064748,0.2823741007194245,0.3151978417266187,0.14298561151079148
XGBoost_prob,0.21,1112,0.42356115107913667,0.0,0.6519784172661871,0.38129496402877694,0.2706834532374101,0.30934113468718694,0.14675402535114784
XGBoost_prob,0.22,1112,0.42356115107913667,0.0,0.6402877697841727,0.3803956834532374,0.2598920863309353,0.3070927873086146,0.1635055591890126
XGBoost_prob,0.23,1112,0.42356115107913667,0.0,0.6330935251798561,0.3794964028776978,0.2535971223021583,0.30374661309913104,0.1753206130747576
XGBoost_prob,0.24,1112,0.42356115107913667,0.0,0.6312949640287769,0.3794964028776978,0.2517985611510792,0.299981067777357,0.18510191846522772
XGBoost_prob,0.25,1112,0.42356115107913667,0.0,0.6241007194244604,0.37859712230215825,0.2455035971223022,0.29676258992805754,0.196043165467626
XGBoost_prob,0.26,1112,0.42356115107913667,0.0,0.6232014388489209,0.37859712230215825,0.24460431654676262,0.2926550651370795,0.20385998893193147
XGBoost_prob,0.27,1112,0.42356115107913667,0.0,0.60431654676259,0.37410071942446044,0.23021582733812954,0.28895239972405634,0.21249666933120182
XGBoost_prob,0.28,1112,0.42356115107913667,0.0,0.591726618705036,0.36780575539568344,0.22392086330935254,0.28072541966426856,0.20914696813977401
XGBoost_prob,0.29,1112,0.42356115107913667,0.0,0.572841726618705,0.3642086330935252,0.2086330935251799,0.2789922991184517,0.2224944182584967
XGBoost_prob,0.3,1112,0.42356115107913667,0.0,0.5665467625899281,0.362410071942446,0.20413669064748205,0.27492291880781083,0.2296163069544365
XGBoost_prob,0.31,1112,0.42356115107913667,0.0,0.564748201438849,0.362410071942446,0.2023381294964029,0.27150453550203313,0.23799025295892334
XGBoost_prob,0.32,1112,0.42356115107913667,0.0,0.5629496402877698,0.36151079136690645,0.20143884892086333,0.266716038933559,0.24314298561151085
XGBoost_prob,0.33,1112,0.42356115107913667,0.0,0.5449640287769785,0.35701438848920863,0.1879496402877698,0.2644421776012026,0.2533791148899064
XGBoost_prob,0.34,1112,0.42356115107913667,0.0,0.5413669064748201,0.3552158273381295,0.18615107913669066,0.2593198168737737,0.2576174354633942
XGBoost_prob,0.35000000000000003,1112,0.42356115107913667,0.0,0.5251798561151079,0.3516187050359712,0.1735611510791367,0.25816270060874374,0.26927029804727665
XGBoost_prob,0.36,1112,0.42356115107913667,0.0,0.5,0.33902877697841727,0.16097122302158276,0.24848246402877697,0.26518784972022397
