model,threshold,n,prevalence,harm,test_pos_rate,tp_rate,fp_rate,net_benefit,net_intervention_avoided
XGBoost_prob,0.0,1112,0.41636690647482016,0.0,0.9370503597122302,0.41187050359712235,0.525179856115108,0.41187050359712235,-inf
XGBoost_prob,0.01,1112,0.41636690647482016,0.0,0.9298561151079137,0.41187050359712235,0.5179856115107914,0.40663832570307396,-0.3794964028776966
XGBoost_prob,0.02,1112,0.41636690647482016,0.0,0.9280575539568345,0.4109712230215828,0.5170863309352518,0.4004184407575981,-0.1978417266187024
XGBoost_prob,0.03,1112,0.41636690647482016,0.0,0.9253597122302158,0.4109712230215828,0.5143884892086331,0.39506230067492404,-0.10521582733812823
XGBoost_prob,0.04,1112,0.41636690647482016,0.0,0.814748201438849,0.40287769784172667,0.4118705035971223,0.38571642685851326,-0.15197841726618574
XGBoost_prob,0.05,1112,0.41636690647482016,0.0,0.8120503597122302,0.40287769784172667,0.4091726618705036,0.3813422945853844,-0.08183453237410049
XGBoost_prob,0.06,1112,0.41636690647482016,0.0,0.7859712230215827,0.39928057553956836,0.3866906474820144,0.3745981937853972,-0.07074340527577998
XGBoost_prob,0.07,1112,0.41636690647482016,0.0,0.7823741007194245,0.3983812949640288,0.38399280575539574,0.3694786106598592,-0.0393114080164445
XGBoost_prob,0.08,1112,0.41636690647482016,0.0,0.7715827338129496,0.39748201438848924,0.37410071942446044,0.36495151704723183,-0.007643884892086117
XGBoost_prob,0.09,1112,0.41636690647482016,0.0,0.7616906474820144,0.3965827338129497,0.36510791366906475,0.36047315993359164,0.01848521183053595
XGBoost_prob,0.1,1112,0.41636690647482016,0.0,0.7508992805755396,0.393884892086331,0.35701438848920863,0.3542166266986411,0.024280575539568694
XGBoost_prob,0.11,1112,0.41636690647482016,0.0,0.7491007194244604,0.393884892086331,0.3552158273381295,0.34998181230296666,0.04651733158927433
XGBoost_prob,0.12,1112,0.41636690647482016,0.0,0.7329136690647482,0.3920863309352518,0.3408273381294964,0.345609875735775,0.06474820143884874
XGBoost_prob,0.13,1112,0.41636690647482016,0.0,0.7158273381294964,0.39118705035971224,0.3246402877697842,0.3426775820722732,0.09048146098505802
XGBoost_prob,0.14,1112,0.41636690647482016,0.0,0.7131294964028777,0.39118705035971224,0.32194244604316546,0.33877781495733644,0.10701438848920866
XGBoost_prob,0.15,1112,0.41636690647482016,0.0,0.7059352517985612,0.39118705035971224,0.31474820143884896,0.3356432501057977,0.12619904076738608
XGBoost_prob,0.16,1112,0.41636690647482016,0.0,0.7032374100719424,0.3902877697841727,0.3129496402877698,0.33067831449126417,0.13376798561151113
XGBoost_prob,0.17,1112,0.41636690647482016,0.0,0.6942446043165468,0.3902877697841727,0.30395683453237415,0.328031550663084,0.15234870926787966
XGBoost_prob,0.18,1112,0.41636690647482016,0.0,0.6933453237410072,0.3893884892086331,0.30395683453237415,0.322666257238112,0.15677458033573155
XGBoost_prob,0.19,1112,0.41636690647482016,0.0,0.6924460431654677,0.3893884892086331,0.30305755395683454,0.3183009148236966,0.16556228701249523
XGBoost_prob,0.2,1112,0.41636690647482016,0.0,0.64568345323741,0.37769784172661874,0.26798561151079137,0.3107014388489209,0.16097122302158273
XGBoost_prob,0.21,1112,0.41636690647482016,0.0,0.6402877697841727,0.3767985611510792,0.26348920863309355,0.3067571259448138,0.17129153819801315
XGBoost_prob,0.22,1112,0.41636690647482016,0.0,0.637589928057554,0.375,0.262589928057554,0.300936174137613,0.17437867887508154
XGBoost_prob,0.23,1112,0.41636690647482016,0.0,0.6339928057553957,0.37410071942446044,0.25989208633093525,0.29647061571522004,0.1822411635908664
XGBoost_prob,0.24,1112,0.41636690647482016,0.0,0.6133093525179856,0.3669064748201439,0.24640287769784175,0.28909503975766754,0.1806055155875299
XGBoost_prob,0.25,1112,0.41636690647482016,0.0,0.5980215827338129,0.3669064748201439,0.23111510791366907,0.2898681055155875,0.2041366906474819
XGBoost_prob,0.26,1112,0.41636690647482016,0.0,0.5935251798561151,0.3669064748201439,0.22661870503597123,0.28728368656426206,0.21624239070282225
XGBoost_prob,0.27,1112,0.41636690647482016,0.0,0.5908273381294964,0.3651079136690648,0.22571942446043167,0.28162264708780926,0.219324540367706
XGBoost_prob,0.28,1112,0.41636690647482016,0.0,0.5881294964028777,0.36330935251798563,0.2248201438848921,0.2758792965627498,0.22237923946557042
XGBoost_prob,0.29,1112,0.41636690647482016,0.0,0.5881294964028777,0.36330935251798563,0.2248201438848921,0.27148140642415647,0.2289134209873481
XGBoost_prob,0.3,1112,0.41636690647482016,0.0,0.5737410071942446,0.3597122302158273,0.2140287769784173,0.26798561151079137,0.23741007194244598
XGBoost_prob,0.31,1112,0.41636690647482016,0.0,0.5593525179856115,0.35611510791366907,0.20323741007194246,0.2648055468668543,0.24628684149454622
XGBoost_prob,0.32,1112,0.41636690647482016,0.0,0.5512589928057554,0.35431654676258995,0.1969424460431655,0.2616377486246297,0.2548336330935252
XGBoost_prob,0.33,1112,0.41636690647482016,0.0,0.5467625899280576,0.35431654676258995,0.19244604316546762,0.25952968968109097,0.26520601700457824
XGBoost_prob,0.34,1112,0.41636690647482016,0.0,0.5251798561151079,0.348021582733813,0.17715827338129497,0.25675822977981255,0.27380448582310635
XGBoost_prob,0.35000000000000003,1112,0.41636690647482016,0.0,0.4982014388489209,0.3381294964028777,0.1600719424460432,0.25193691200885443,0.2782631038026721
XGBoost_prob,0.36,1112,0.41636690647482016,0.0,0.48111510791366907,0.3345323741007194,0.14658273381294967,0.2520795863309352,0.29156674660271764
