model,threshold,n,prevalence,harm,test_pos_rate,tp_rate,fp_rate,net_benefit,net_intervention_avoided
XGBoost_prob,0.0,397,0.8236775818639799,0.0,1.0,0.8236775818639799,0.17632241813602012,0.8236775818639799,
XGBoost_prob,0.01,397,0.8236775818639799,0.0,1.0,0.8236775818639799,0.17632241813602012,0.8218965473373534,0.0
XGBoost_prob,0.02,397,0.8236775818639799,0.0,1.0,0.8236775818639799,0.17632241813602012,0.8200791651673264,0.0
XGBoost_prob,0.03,397,0.8236775818639799,0.0,1.0,0.8236775818639799,0.17632241813602012,0.8182243111999793,0.0
XGBoost_prob,0.04,397,0.8236775818639799,0.0,0.9974811083123426,0.8236775818639799,0.1738035264483627,0.8164357682619647,0.002518891687657287
XGBoost_prob,0.05,397,0.8236775818639799,0.0,0.9974811083123426,0.8236775818639799,0.1738035264483627,0.8145300278403819,0.0025188916876568435
XGBoost_prob,0.06,397,0.8236775818639799,0.0,0.9924433249370277,0.8236775818639799,0.16876574307304784,0.8129053003912321,0.007556675062971493
XGBoost_prob,0.07,397,0.8236775818639799,0.0,0.9924433249370277,0.8236775818639799,0.16876574307304784,0.8109747839982666,0.007556675062971909
XGBoost_prob,0.08,397,0.8236775818639799,0.0,0.9924433249370277,0.8236775818639799,0.16876574307304784,0.8090022998576278,0.007556675062971863
XGBoost_prob,0.09,397,0.8236775818639799,0.0,0.9899244332493703,0.8236775818639799,0.1662468513853904,0.8072355855731171,0.010075566750630507
XGBoost_prob,0.1,397,0.8236775818639799,0.0,0.982367758186398,0.8211586901763225,0.16120906801007553,0.8032465715085363,-0.007556675062971862
XGBoost_prob,0.11,397,0.8236775818639799,0.0,0.9798488664987406,0.818639798488665,0.16120906801007553,0.7987150822177568,-0.025646897183421453
XGBoost_prob,0.12,397,0.8236775818639799,0.0,0.9798488664987406,0.818639798488665,0.16120906801007553,0.7966567437600183,-0.021830394626365306
XGBoost_prob,0.13,397,0.8236775818639799,0.0,0.9748110831234257,0.8161209068010077,0.1586901763224181,0.792408581603405,-0.03293935283859637
XGBoost_prob,0.14,397,0.8236775818639799,0.0,0.9748110831234257,0.8161209068010077,0.1586901763224181,0.7902876222834048,-0.02878733357322698
XGBoost_prob,0.15,397,0.8236775818639799,0.0,0.9748110831234257,0.8161209068010077,0.1586901763224181,0.788116758038228,-0.025188916876573614
XGBoost_prob,0.16,397,0.8236775818639799,0.0,0.9722921914357683,0.8161209068010077,0.15617128463476068,0.7863739954420057,-0.01952141057934439
XGBoost_prob,0.17,397,0.8236775818639799,0.0,0.9722921914357683,0.8161209068010077,0.15617128463476068,0.7841340171770206,-0.016743221217957516
XGBoost_prob,0.18,397,0.8236775818639799,0.0,0.964735516372796,0.8161209068010077,0.14861460957178838,0.7834981876267126,-0.00671704450041973
XGBoost_prob,0.19,397,0.8236775818639799,0.0,0.9496221662468514,0.8060453400503779,0.14357682619647352,0.7723668252635507,-0.042423438950020036
XGBoost_prob,0.2,397,0.8236775818639799,0.0,0.9496221662468514,0.8060453400503779,0.14357682619647352,0.7701511335012595,-0.037783375314861534
XGBoost_prob,0.21,397,0.8236775818639799,0.0,0.9496221662468514,0.8060453400503779,0.14357682619647352,0.7678793482766317,-0.03358522250209901
XGBoost_prob,0.22,397,0.8236775818639799,0.0,0.9496221662468514,0.8060453400503779,0.14357682619647352,0.7655493121488084,-0.029768719945042245
XGBoost_prob,0.23,397,0.8236775818639799,0.0,0.9496221662468514,0.8060453400503779,0.14357682619647352,0.7631587556020806,-0.026284087175555707
XGBoost_prob,0.24,397,0.8236775818639799,0.0,0.9370277078085643,0.8010075566750631,0.13602015113350124,0.758053824738168,-0.03148614609571758
XGBoost_prob,0.25,397,0.8236775818639799,0.0,0.9345088161209067,0.8010075566750631,0.1335012594458438,0.7565071368597818,-0.025188916876574208
XGBoost_prob,0.26,397,0.8236775818639799,0.0,0.9269521410579346,0.7959697732997482,0.1309823677581864,0.7499489413847097,-0.03352063553574876
XGBoost_prob,0.27,397,0.8236775818639799,0.0,0.924433249370277,0.7959697732997482,0.12846347607052894,0.7484558848901005,-0.02705476257113526
XGBoost_prob,0.28,397,0.8236775818639799,0.0,0.9143576826196473,0.7934508816120907,0.12090680100755666,0.746431570109152,-0.02231018351925178
XGBoost_prob,0.29,397,0.8236775818639799,0.0,0.9118387909319899,0.7909319899244333,0.12090680100755666,0.7415475219072623,-0.024754625206288475
XGBoost_prob,0.3,397,0.8236775818639799,0.0,0.9118387909319899,0.7909319899244333,0.12090680100755666,0.7391147894926232,-0.020990764063811986
XGBoost_prob,0.31,397,0.8236775818639799,0.0,0.906801007556675,0.7884130982367759,0.11838790931989922,0.7352243273829081,-0.020557406354107483
XGBoost_prob,0.32,397,0.8236775818639799,0.0,0.8916876574307305,0.7758186397984886,0.11586901763224179,0.721292043265669,-0.04124685138539055
XGBoost_prob,0.33,397,0.8236775818639799,0.0,0.8916876574307305,0.7758186397984886,0.11586901763224179,0.7187488251438023,-0.03671475459888582
XGBoost_prob,0.34,397,0.8236775818639799,0.0,0.8664987405541562,0.7607052896725441,0.10579345088161207,0.7062056331577743,-0.0517113646466142
XGBoost_prob,0.35000000000000003,397,0.8236775818639799,0.0,0.8639798488664987,0.7607052896725441,0.10327455919395465,0.70509591164503,-0.04390068369917238
XGBoost_prob,0.36,397,0.8236775818639799,0.0,0.8060453400503779,0.7052896725440806,0.1007556675062972,0.6486146095717884,-0.13490064371676466
