model,threshold,n,prevalence,harm,test_pos_rate,tp_rate,fp_rate,net_benefit,net_intervention_avoided
XGBoost_prob,0.0,1112,0.41636690647482016,0.0,0.9136690647482014,0.4091726618705036,0.5044964028776979,0.4091726618705036,-inf
XGBoost_prob,0.01,1112,0.41636690647482016,0.0,0.9136690647482014,0.4091726618705036,0.5044964028776979,0.4040767386091127,-0.6330935251798613
XGBoost_prob,0.02,1112,0.41636690647482016,0.0,0.9136690647482014,0.4091726618705036,0.5044964028776979,0.3988768169138159,-0.27338129496403035
XGBoost_prob,0.03,1112,0.41636690647482016,0.0,0.9100719424460432,0.4091726618705036,0.5008992805755396,0.39368093154342504,-0.14988009592326254
XGBoost_prob,0.04,1112,0.41636690647482016,0.0,0.9100719424460432,0.4091726618705036,0.5008992805755396,0.38830185851318944,-0.0899280575539576
XGBoost_prob,0.05,1112,0.41636690647482016,0.0,0.8372302158273381,0.40467625899280574,0.4325539568345324,0.3819102612646724,-0.07104316546762762
XGBoost_prob,0.06,1112,0.41636690647482016,0.0,0.835431654676259,0.40467625899280574,0.4307553956834533,0.3771812337364151,-0.030275779376499782
XGBoost_prob,0.07,1112,0.41636690647482016,0.0,0.8048561151079137,0.4010791366906475,0.4037769784172662,0.37068732111085323,-0.02325282631038107
XGBoost_prob,0.08,1112,0.41636690647482016,0.0,0.8003597122302158,0.4010791366906475,0.39928057553956836,0.3663590866437285,0.008543165467625735
XGBoost_prob,0.09,1112,0.41636690647482016,0.0,0.8003597122302158,0.4010791366906475,0.39928057553956836,0.36158984899992097,0.02977617905675478
XGBoost_prob,0.1,1112,0.41636690647482016,0.0,0.7994604316546763,0.4010791366906475,0.3983812949640288,0.35681454836131093,0.04766187050359699
XGBoost_prob,0.11,1112,0.41636690647482016,0.0,0.7985611510791367,0.4010791366906475,0.39748201438848924,0.35195214614824993,0.06245912361020268
XGBoost_prob,0.12,1112,0.41636690647482016,0.0,0.7823741007194245,0.3965827338129497,0.38579136690647486,0.3439748201438849,0.05275779376498809
XGBoost_prob,0.13,1112,0.41636690647482016,0.0,0.7769784172661871,0.3965827338129497,0.38039568345323743,0.3397419995038452,0.07083563918096282
XGBoost_prob,0.14,1112,0.41636690647482016,0.0,0.7742805755395683,0.3956834532374101,0.37859712230215825,0.33405136356031456,0.07798047276464569
XGBoost_prob,0.15,1112,0.41636690647482016,0.0,0.7616906474820144,0.39298561151079137,0.36870503597122306,0.32792001692763434,0.08243405275779367
XGBoost_prob,0.16,1112,0.41636690647482016,0.0,0.7571942446043165,0.39298561151079137,0.36420863309352525,0.3236125385405961,0.0966726618705036
XGBoost_prob,0.17,1112,0.41636690647482016,0.0,0.7544964028776978,0.39298561151079137,0.3615107913669065,0.3189412325561238,0.1079665679221328
XGBoost_prob,0.18,1112,0.41636690647482016,0.0,0.7194244604316546,0.3902877697841727,0.329136690647482,0.3180382523249693,0.13569144684252593
XGBoost_prob,0.19,1112,0.41636690647482016,0.0,0.7176258992805755,0.3902877697841727,0.3273381294964029,0.31350475175415227,0.145115486558122
XGBoost_prob,0.2,1112,0.41636690647482016,0.0,0.7149280575539568,0.3902877697841727,0.3246402877697842,0.3091276978417266,0.15467625899280568
XGBoost_prob,0.21,1112,0.41636690647482016,0.0,0.7149280575539568,0.3902877697841727,0.3246402877697842,0.30399098442764777,0.16088557725248379
XGBoost_prob,0.22,1112,0.41636690647482016,0.0,0.6690647482014388,0.3839928057553957,0.28507194244604317,0.3035878989116399,0.1837802485284497
XGBoost_prob,0.23,1112,0.41636690647482016,0.0,0.6303956834532374,0.3767985611510792,0.2535971223021583,0.3010487713725124,0.19756803253049732
XGBoost_prob,0.24,1112,0.41636690647482016,0.0,0.6070143884892086,0.36870503597122306,0.23830935251798563,0.2934494509655434,0.19439448441247023
XGBoost_prob,0.25,1112,0.41636690647482016,0.0,0.5926258992805755,0.3642086330935252,0.22841726618705038,0.2880695443645084,0.19874100719424453
XGBoost_prob,0.26,1112,0.41636690647482016,0.0,0.579136690647482,0.36330935251798563,0.21582733812949642,0.28747812560762204,0.21679579413392372
XGBoost_prob,0.27,1112,0.41636690647482016,0.0,0.579136690647482,0.36330935251798563,0.21582733812949642,0.2834828027988568,0.2243538502531308
XGBoost_prob,0.28,1112,0.41636690647482016,0.0,0.579136690647482,0.36330935251798563,0.21582733812949642,0.2793764988009592,0.23137204522096608
XGBoost_prob,0.29,1112,0.41636690647482016,0.0,0.5773381294964028,0.36241007194244607,0.21492805755395686,0.27462255547674536,0.2366038203919623
XGBoost_prob,0.3,1112,0.41636690647482016,0.0,0.5665467625899281,0.35881294964028776,0.2077338129496403,0.2697841726618705,0.24160671462829728
XGBoost_prob,0.31,1112,0.41636690647482016,0.0,0.5440647482014388,0.3534172661870504,0.1906474820143885,0.26776404962986133,0.25287189603156185
XGBoost_prob,0.32,1112,0.41636690647482016,0.0,0.5377697841726619,0.3516187050359712,0.18615107913669066,0.2640181972069403,0.25989208633093525
XGBoost_prob,0.33,1112,0.41636690647482016,0.0,0.5116906474820144,0.3444244604316547,0.1672661870503597,0.26203962203371634,0.27030194026596915
XGBoost_prob,0.34,1112,0.41636690647482016,0.0,0.4982014388489209,0.3399280575539569,0.15827338129496404,0.2583932853717027,0.2769784172661872
XGBoost_prob,0.35000000000000003,1112,0.41636690647482016,0.0,0.47302158273381295,0.329136690647482,0.14388489208633096,0.2516602102933038,0.27774922918807815
XGBoost_prob,0.36,1112,0.41636690647482016,0.0,0.46672661870503596,0.3264388489208633,0.14028776978417268,0.24752697841726615,0.2834732214228616
